date,Total days in use,Number of separate events,Total unique patrons,Total attendance,First time visitors
01/23,6,7,194,239,6
02/23,11,12,640,763,41
03/23,11,14,1564,2046,409
04/23,11,10,582,712,37
05/23,14,16,1399,1928,264
06/23,17,22,997,1074,109
07/23,20,23,1679,1915,269
08/23,11,13,327,422,27
09/23,18,23,1063,1248,194
10/23,15,14,2757,3118,385
11/23,11,12,1892,2213,395
12/23,14,15,2557,2923,887
01/24,12,13,1485,1713,667
02/24,10,14,818,1028,122
03/24,13,15,1898,1798,147
04/24,13,16,874,990,206
05/24,12,12,987,1241,221
06/24,9,9,1119,1325,154
07/24,9,13,1657,2071,186
08/24,4,5,170,247,23
09/24,10,12,792,789,173
10/24,10,13,1883,2331,148
11/24,10,13,1897,2192,339
12/24,15,16,2544,3298,777
01/25,9,9,674,758,21
02/25,11,14,1236,1593,182
